"name","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","mass","log_mass"
"Elephant Moraine 84301",8040,"Valid","L6",75.1,"Found",1984,-76.2875,157.22111,"(-76.2875, 157.22111)",75.1,1.87563993700417
"Elephant Moraine 84303",8042,"Valid","H5",57.5,"Found",1984,-76.30917,157.19083,"(-76.30917, 157.19083)",57.5,1.75966784468963
"Elephant Moraine 84304",8043,"Valid","L6",152.2,"Found",1984,-76.31444,157.18528,"(-76.31444, 157.18528)",152.2,2.18241465243455
"Elephant Moraine 84306",8045,"Valid","H6",3.5,"Found",1984,-76.28222,157.24695,"(-76.28222, 157.24695)",3.5,0.544068044350276
"Elephant Moraine 84307",8046,"Valid","L6",5.1,"Found",1984,-76.28167,157.25028,"(-76.28167, 157.25028)",5.1,0.707570176097936
"Elephant Moraine 84308",8047,"Valid","L6",9.3,"Found",1984,-76.30278,157.16306,"(-76.30278, 157.16306)",9.3,0.968482948553935
"Elephant Moraine 86800",8048,"Valid","L6",116,"Found",1986,-76.32838,157.22983,"(-76.32838, 157.22983)",116,2.06445798922692
"Elephant Moraine 86801",8049,"Valid","L6",82.9,"Found",1986,-76.32863,157.22714,"(-76.32863, 157.22714)",82.9,1.91855453055027
"Elephant Moraine 86802",8050,"Valid","H4",29.6,"Found",1986,-76.32862,157.22718,"(-76.32862, 157.22718)",29.6,1.47129171105894
"Elephant Moraine 87502",8053,"Valid","L6",1810.1,"Found",1987,-76.28503,156.49716,"(-76.28503, 156.49716)",1810.1,3.25770256837666
"Elephant Moraine 87515",8066,"Valid","L6",588.1,"Found",1987,-76.05805,156.3874,"(-76.05805, 156.3874)",588.1,2.76945117940204
"Elephant Moraine 87533",8083,"Valid","L6",7364.8,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",7364.8,3.8671609575499
"Elephant Moraine 87534",8084,"Valid","L5",1155.3,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",1155.3,3.06269477334239
"Elephant Moraine 87535",8085,"Valid","L6",1230.8,"Found",1987,-76.27512,156.36181,"(-76.27512, 156.36181)",1230.8,3.09018748757542
"Elephant Moraine 87536",8086,"Valid","L6",7526.4,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",7526.4,3.87658729572401
"Elephant Moraine 87537",8087,"Valid","H5",3702,"Found",1987,-76.27247,157.15495,"(-76.27247, 157.15495)",3702,3.56843641441689
"Elephant Moraine 87538",8088,"Valid","L6",11894,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",11894,4.07532793416326
"Elephant Moraine 87539",8089,"Valid","H5",2928.5,"Found",1987,-76.04491,156.06704,"(-76.04491, 156.06704)",2928.5,3.46664522836398
"Elephant Moraine 87540",8090,"Valid","L6",1172.4,"Found",1987,-76.28432,157.2153,"(-76.28432, 157.2153)",1172.4,3.0690758097664
"Elephant Moraine 87541",8091,"Valid","L6",1161.4,"Found",1987,-75.98619,155.69836,"(-75.98619, 155.69836)",1161.4,3.0649818216973
"Elephant Moraine 87543",8093,"Valid","H6",1761.9,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",1761.9,3.24598125556262
"Elephant Moraine 87545",8095,"Valid","H5",486.3,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",486.3,2.68690426956818
"Elephant Moraine 87546",8096,"Valid","H6",2018.2,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",2018.2,3.30496420183769
"Elephant Moraine 87547",8097,"Valid","H6",1223.2,"Found",1987,-76.04544,156.09938,"(-76.04544, 156.09938)",1223.2,3.08749747240426
"Elephant Moraine 87549",8099,"Valid","L6",538.6,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",538.6,2.73126634907549
"Elephant Moraine 87550",8100,"Valid","H5",1639.8,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",1639.8,3.2147908820763
"Elephant Moraine 87551",8101,"Valid","H5",476,"Found",1987,-76.05056,156.44307,"(-76.05056, 156.44307)",476,2.67760695272049
"Elephant Moraine 87552",8102,"Valid","H6",535.1,"Found",1987,-76.04887,156.35829,"(-76.04887, 156.35829)",535.1,2.72843495097425
"Elephant Moraine 87553",8103,"Valid","H4",682.2,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",682.2,2.83391171507138
"Elephant Moraine 87554",8104,"Valid","L6",1293.5,"Found",1987,-76.2723,156.51413,"(-76.2723, 156.51413)",1293.5,3.11176643305256
"Elephant Moraine 87555",8105,"Valid","L6",474.1,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",474.1,2.67586995531896
"Elephant Moraine 87556",8106,"Valid","L6",362.6,"Found",1987,-76.26621,156.48428,"(-76.26621, 156.48428)",362.6,2.55942779975949
"Elephant Moraine 87558",8108,"Valid","L5",306.4,"Found",1987,-76.27776,157.14855,"(-76.27776, 157.14855)",306.4,2.48628876096057
"Elephant Moraine 87559",8109,"Valid","L6",584.2,"Found",1987,-76.26578,156.48253,"(-76.26578, 156.48253)",584.2,2.76656155263753
"Elephant Moraine 87560",8110,"Valid","H5",389.9,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",389.9,2.59095323518799
"Elephant Moraine 87561",8111,"Valid","L6",304.6,"Found",1987,-76.28273,157.18088,"(-76.28273, 157.18088)",304.6,2.48372989900002
"Elephant Moraine 87562",8112,"Valid","H6",308.3,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",308.3,2.48897352472651
"Elephant Moraine 87563",8113,"Valid","H6",300.4,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",300.4,2.47769992833213
"Elephant Moraine 87565",8115,"Valid","H6",343.7,"Found",1987,-76.26614,157.05846,"(-76.26614, 157.05846)",343.7,2.53617953213723
"Elephant Moraine 87566",8116,"Valid","L6",388.1,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",388.1,2.58894364274001
"Elephant Moraine 87567",8117,"Valid","L6",298.5,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",298.5,2.47494433546539
"Elephant Moraine 87568",8118,"Valid","L6",305.7,"Found",1987,-76.27428,156.51289,"(-76.27428, 156.51289)",305.7,2.48529543872609
"Elephant Moraine 87569",8119,"Valid","L6",211.3,"Found",1987,-76.27543,156.50174,"(-76.27543, 156.50174)",211.3,2.32489949705231
"Elephant Moraine 87570",8120,"Valid","L5",307.7,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",307.7,2.48812749624746
"Elephant Moraine 87571",8121,"Valid","H5",162,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",162,2.20951501454263
"Elephant Moraine 87572",8122,"Valid","L6",355,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",355,2.55022835305509
"Elephant Moraine 87574",8124,"Valid","L6",238.5,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",238.5,2.37748838337613
"Elephant Moraine 87575",8125,"Valid","H6",396,"Found",1987,-76.04045,156.11675,"(-76.04045, 156.11675)",396,2.59769518592551
"Elephant Moraine 87576",8126,"Valid","H5",327.5,"Found",1987,-76.28528,157.17764,"(-76.28528, 157.17764)",327.5,2.5152113043278
"Elephant Moraine 87577",8127,"Valid","H5",147.9,"Found",1987,-76.26584,156.49606,"(-76.26584, 156.49606)",147.9,2.16996817399689
"Elephant Moraine 87578",8128,"Valid","L6",350,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",350,2.54406804435028
"Elephant Moraine 87579",8129,"Valid","H5",326.4,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",326.4,2.51375015008182
"Elephant Moraine 87580",8130,"Valid","L6",286.5,"Found",1987,-76.26862,156.52022,"(-76.26862, 156.52022)",286.5,2.45712462630341
"Elephant Moraine 87581",8131,"Valid","H5",216.9,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",216.9,2.33625955201419
"Elephant Moraine 87583",8133,"Valid","L6",201.3,"Found",1987,-76.05861,156.38781,"(-76.05861, 156.38781)",201.3,2.30384377488865
"Elephant Moraine 87584",8134,"Valid","L6",263.1,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",263.1,2.4201208480857
"Elephant Moraine 87585",8135,"Valid","L5",52.7,"Found",1987,-76.03853,156.1062,"(-76.03853, 156.1062)",52.7,1.72181061521255
"Elephant Moraine 87586",8136,"Valid","L6",215.5,"Found",1987,-76.2676,156.46343,"(-76.2676, 156.46343)",215.5,2.33344727449675
"Elephant Moraine 87587",8137,"Valid","L6",102.6,"Found",1987,-76.27598,156.50251,"(-76.27598, 156.50251)",102.6,2.0111473607758
"Elephant Moraine 87588",8138,"Valid","L6",28.5,"Found",1987,-76.2738,156.51366,"(-76.2738, 156.51366)",28.5,1.45484486000851
"Elephant Moraine 87589",8139,"Valid","L6",98.4,"Found",1987,-76.2723,156.47558,"(-76.2723, 156.47558)",98.4,1.99299509843134
"Elephant Moraine 87590",8140,"Valid","L6",69,"Found",1987,-76.27234,156.48545,"(-76.27234, 156.48545)",69,1.83884909073726
"Elephant Moraine 87591",8141,"Valid","H6",19.6,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",19.6,1.29225607135648
"Elephant Moraine 87592",8142,"Valid","H6",89.7,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",89.7,1.95279244304409
"Elephant Moraine 87593",8143,"Valid","L6",40.2,"Found",1987,-76.28274,157.1915,"(-76.28274, 157.1915)",40.2,1.60422605308447
"Elephant Moraine 87594",8144,"Valid","L6",79.1,"Found",1987,-76.28328,156.48318,"(-76.28328, 156.48318)",79.1,1.89817648349768
"Elephant Moraine 87595",8145,"Valid","L5",19.4,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",19.4,1.28780172993023
